#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
dCache_1             PF02743.18 KZD78131             -            4.8e-30  105.2   5.1   5.5e-30  105.0   5.1   1.0   1   0   0   1   1   1   1 Cache domain
Cache_3-Cache_2      PF17201.4  KZD78131             -              2e-12   47.0   2.0   3.4e-12   46.2   1.2   1.8   1   1   1   2   2   1   1 Cache 3/Cache 2 fusion domain
dCache_2             PF08269.11 KZD78131             -              6e-09   35.5   5.6     2e-08   33.8   1.5   2.3   1   1   1   2   2   1   1 Cache domain
dCache_1             PF02743.18 WP_032722412         -            4.2e-30  105.4   4.9   4.8e-30  105.2   4.9   1.0   1   0   0   1   1   1   1 Cache domain
Cache_3-Cache_2      PF17201.4  WP_032722412         -              2e-12   47.0   2.0   3.4e-12   46.2   1.2   1.8   1   1   1   2   2   1   1 Cache 3/Cache 2 fusion domain
dCache_2             PF08269.11 WP_032722412         -            5.7e-09   35.6   5.4   2.1e-08   33.7   1.6   2.3   1   1   1   2   2   1   1 Cache domain
dCache_1             PF02743.18 WP_070547690         -            2.7e-30  106.0   5.4   3.1e-30  105.8   5.4   1.0   1   0   0   1   1   1   1 Cache domain
Cache_3-Cache_2      PF17201.4  WP_070547690         -            1.8e-12   47.2   2.1     3e-12   46.4   1.3   1.8   1   1   1   2   2   1   1 Cache 3/Cache 2 fusion domain
dCache_2             PF08269.11 WP_070547690         -            5.8e-09   35.6   5.9     2e-08   33.8   1.8   2.3   1   1   1   2   2   1   1 Cache domain
dCache_1             PF02743.18 AKN15232             -            3.2e-30  105.7   4.9   3.7e-30  105.5   4.9   1.0   1   0   0   1   1   1   1 Cache domain
Cache_3-Cache_2      PF17201.4  AKN15232             -            1.7e-12   47.2   2.1   2.9e-12   46.5   1.2   1.8   1   1   1   2   2   1   1 Cache 3/Cache 2 fusion domain
